Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
HDFCBANK,23-Nov-17,30-Nov-17,CE,2060,0,0,0,2.2,2.2,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1420,0,0,0,378.55,0,424.55,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1440,0,0,0,358.9,0,404.6,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1460,0,0,0,339.3,0,384.6,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1480,0,0,0,319.7,0,364.65,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1500,0,0,0,300.15,0,344.65,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1520,0,0,0,280.75,0,324.7,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1540,0,0,0,261.4,0,304.7,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1560,0,0,0,242.3,0,284.75,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1580,0,0,0,223.45,0,264.75,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1600,0,0,0,204,204,244.8,0,0,0,13000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1620,0,0,0,186.75,0,224.8,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1640,0,0,0,169.1,0,204.85,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1660,0,0,0,143,143,184.85,0,0,0,4000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1680,0,0,0,122,122,164.9,0,0,0,2500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1700,0,0,0,138,138,144.9,0,0,0,8500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1720,0,0,0,81.8,81.8,124.95,0,0,0,1500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1740,0,0,0,65,65,105,0,0,0,4500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1760,0,0,0,77.5,77.5,85.15,0,0,0,19500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1780,73,73,73,73,73,73,1,9.27,0.37,15000,-500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1800,56,56.95,49,49.4,49,49.4,11,101.95,2.95,198000,-3000,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1820,41.75,42.05,27.8,29.7,28.85,29.7,99,918.86,17.96,137500,-14500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1840,24.2,24.2,14.75,16.25,15,16.25,254,2361.9,25.1,236000,-7500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1860,15.95,15.95,8,9.15,8.25,9.15,509,4762.43,28.73,328000,27000,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1880,8.05,8.1,4.7,5.15,5.5,5.15,230,2168.85,6.85,311500,-1000,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1900,5,5,2.95,3.1,3.05,3.1,260,2474.49,4.49,632000,-31000,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1920,2.3,4.35,2.1,2.9,4.35,2.9,39,374.86,0.46,81500,-2500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1940,2,2.05,1.7,1.8,1.7,1.8,163,1582.63,1.53,150500,-45000,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1960,1.5,1.55,1.45,1.55,1.45,1.55,23,225.57,0.17,32000,-7500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1980,0,0,0,2,2,0,0,0,0,17000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,2000,1.1,1.3,0.9,1,0.95,1,78,780.42,0.42,285500,-1500,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,2020,1,1,1,1,1,1,4,40.42,0.02,55000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,2040,0,0,0,2.25,2.25,0,0,0,0,85000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,CE,1400,0,0,0,398.25,0,444.55,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1380,0,0,0,0.05,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,2060,0,0,0,254.35,0,214.7,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1420,0,0,0,0.05,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1440,0,0,0,0.1,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1460,0,0,0,0.15,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1480,0,0,0,0.25,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1500,0,0,0,0.4,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1520,0,0,0,0.65,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1540,0,0,0,1.05,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1560,0,0,0,1.6,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1580,0,0,0,2.45,0,0,0,0,0,0,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1600,0,0,0,0.5,0.5,0,0,0,0,11500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1620,0,0,0,2,2,0,0,0,0,12000,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1640,0,0,0,3.2,3.2,0,0,0,0,4500,0,1847
HDFCBANK,23-Nov-17,30-Nov-17,PE,1660,0,0,0,0.5,0.5,0,0,0,0,18000,0,1847
